"","TP08A","TP08B","TP08C","TP08D","TP08E","TP08F","TP08G","TP08H","TP08J","TP08M","grp"
"1625",2.22,6.67,8.89,3.33,8.89,0,0,7.78,4.44,0,1
"1626",2,1,3,3,2,3,1,3,0,2,2
"1627",10,10,7.78,1.11,10,7.78,6.67,6.67,4.44,0,1
"1628",5,4,5,4,5,5,4,4,6,6,1
"1629",3.33,4.44,4.44,5.56,6.67,4.44,3.33,3.33,5.56,3.33,1
"1630",8,9,9,7,8,10,9,7,10,10,3
"1631",5.56,4.44,4.44,3.33,10,7.78,5.56,5.56,3.33,8.89,1
"1632",7,7,9,9,7,8,9,10,9,9,3
"1633",10,8.89,8.89,10,10,8.89,10,10,10,8.89,3
"1634",8,8,8,10,8,10,10,10,10,7,3
"1635",5.56,8.89,3.33,6.67,10,7.78,6.67,8.89,6.67,8.89,3
"1636",10,10,7.78,7.78,10,7.78,4.44,7.78,7.78,7.78,3
"1637",7.78,10,10,10,10,10,10,10,6.67,10,3
"1638",7.78,8.89,10,5.56,10,10,10,10,7.78,8.89,3
"1639",10,4.44,7.78,7.78,10,10,10,8.89,10,7.78,3
"1640",10,10,10,4.44,10,10,10,10,10,10,3
"1641",7.78,8.89,7.78,6.67,8.89,7.78,10,10,8.89,8.89,3
"1642",8.89,10,10,10,10,10,10,10,8.89,10,3
"1643",8.89,8.89,10,10,10,10,10,10,8.89,10,3
"1644",6,4,4,4,4,4,5,6,5,5,1
"1645",4.44,10,7.78,10,0,3.33,2.22,2.22,5.56,0,1
"1646",10,10,10,10,10,10,10,10,10,10,3
"1647",4.44,6.67,8.89,1.11,8.89,3.33,3.33,1.11,8.89,1.11,1
"1648",5.56,6.67,6.67,7.78,6.67,6.67,5.56,4.44,6.67,4.44,1
"1649",5,4,5,5,6,5,4,6,5,4,1
"1650",10,10,10,8.89,10,10,10,10,10,10,3
"1651",6,4,5,4,6,6,5,5,6,4,1
"1652",1.11,10,1.11,7.78,10,10,10,10,10,10,3
"1653",1.11,1.11,2.22,0,3.33,0,2.22,2.22,0,0,2
"1654",5,5,5,5,4,4,6,4,4,4,1
"1655",4.44,7.78,6.67,4.44,10,6.67,8.89,8.89,6.67,8.89,3
"1656",4,6,6,6,6,5,4,5,5,5,1
"1657",4,5,4,6,5,6,5,5,4,5,1
"1658",8.89,10,10,10,10,10,7.78,8.89,10,10,3
"1659",8.89,10,10,7.78,10,10,10,10,8.89,10,3
"1660",1.11,10,7.78,4.44,10,10,10,10,7.78,7.78,3
"1661",10,9,9,8,8,7,9,9,9,8,3
"1662",10,7.78,5.56,4.44,10,10,10,8.89,10,10,3
"1663",9,8,7,7,9,9,7,10,10,9,3
"1664",1.11,1.11,0,5.56,10,7.78,8.89,7.78,8.89,8.89,1
"1665",7.78,10,7.78,7.78,10,10,7.78,10,10,10,3
"1666",0,10,0,0,0,0,0,4.44,0,0,2
"1667",0,7.78,4.44,2.22,10,10,8.89,10,7.78,10,3
"1668",7.78,10,10,7.78,10,10,8.89,7.78,10,7.78,3
"1669",2,3,2,2,2,2,2,2,1,1,2
"1670",0,1,2,0,0,1,3,0,0,1,2
"1671",8,10,9,8,9,8,7,9,7,10,3
"1672",6.67,5.56,8.89,7.78,7.78,5.56,6.67,4.44,7.78,6.67,1
"1673",7.78,7.78,8.89,4.44,8.89,8.89,10,10,10,10,3
"1674",10,10,10,8.89,10,8.89,8.89,10,10,10,3
"1675",5,6,5,6,6,4,4,6,5,4,1
"1676",7.78,7.78,7.78,5.56,8.89,10,10,8.89,8.89,10,3
"1677",9,9,9,10,8,10,9,8,10,9,3
"1678",5.56,10,10,7.78,8.89,7.78,8.89,7.78,8.89,5.56,3
"1679",7.78,7.78,7.78,7.78,7.78,8.89,7.78,8.89,7.78,7.78,3
"1680",4,6,4,6,6,6,5,4,4,6,1
"1681",10,10,10,10,10,10,10,10,10,10,3
"1682",2.22,7.78,10,7.78,10,10,10,10,7.78,10,3
"1683",6.67,10,10,4.44,10,10,10,10,10,4.44,3
"1684",7.78,10,10,7.78,10,10,10,10,10,10,3
"1685",3.33,10,5.56,3.33,4.44,3.33,3.33,3.33,3.33,2.22,1
"1686",7.78,7.78,8.89,6.67,10,8.89,10,7.78,7.78,6.67,3
"1687",0,4.44,3.33,1.11,4.44,3.33,4.44,3.33,6.67,3.33,2
"1688",4.44,10,10,6.67,10,10,10,10,10,10,3
"1689",10,10,7.78,7.78,10,10,10,10,10,10,3
"1690",10,5.56,8.89,4.44,10,5.56,10,10,10,10,3
"1691",1,0,2,2,3,3,0,3,1,3,2
"1692",10,10,10,10,10,10,10,10,10,10,3
"1693",6.67,10,10,6.67,10,7.78,7.78,7.78,10,7.78,3
"1694",10,10,10,10,10,10,7.78,10,10,10,3
"1695",1.11,1.11,1.11,3.33,0,1.11,1.11,1.11,1.11,3.33,2
"1696",1.11,8.89,1.11,1.11,0,0,0,1.11,0,0,2
"1697",2,3,2,2,1,0,1,2,1,3,2
"1698",1,1,3,2,2,3,3,1,3,0,2
"1699",5.56,5.56,6.67,5.56,10,10,10,10,10,10,3
"1700",3.33,8.89,8.89,7.78,10,10,10,10,8.89,10,3
"1701",10,3,10,7.78,10,10,6.67,10,7.78,10,3
"1702",1,0,0,3,3,0,2,3,1,1,2
"1703",2,1,2,0,0,2,0,1,3,3,2
"1704",2.22,2.22,8.89,2.22,10,4.44,4.44,8.89,7.78,0,1
"1705",10,10,10,8.89,10,8.89,10,10,10,8.89,3
"1706",6.67,10,7.78,7.78,10,7.78,6.67,7.78,7.78,0,1
"1707",7.78,7.78,5.56,4.44,10,8.89,10,10,10,7.78,3
"1708",4,5,4,4,4,5,6,5,6,6,1
"1709",1.11,7.78,4.44,8.89,10,7.78,4.44,7.78,7.78,0,1
"1710",0,4.44,4.44,0,7.78,0,5.56,4.44,2.22,0,2
"1711",10,10,10,10,10,10,4.44,10,10,4.44,3
"1712",7.78,8.89,7.78,8.89,8.89,8.89,8.89,8.89,8.89,10,3
"1713",9,7,8,10,8,8,8,7,8,10,3
"1714",7.78,6.67,8.89,7.78,10,5.56,4.44,8.89,7.78,8.89,3
"1715",7.78,10,7.78,10,10,7.78,7.78,10,6.67,6.67,3
"1716",10,10,10,10,10,10,10,10,10,10,3
"1717",7.78,8.89,10,6.67,10,7.78,6.67,8.89,8.89,7.78,3
"1718",10,10,10,4.44,10,10,10,10,10,10,3
"1719",10,8.89,10,10,8.89,10,10,10,10,10,3
"1720",2.22,2.22,2.22,2.22,10,4.44,0,2.22,6.67,0,2
"1721",7.78,4.44,5.56,4.44,7.78,6.67,4.44,5.56,4.44,6.67,1
"1722",5.56,8.89,8.89,6.67,10,8.89,7.78,8.89,7.78,7.78,3
"1723",5,5,6,4,6,5,4,6,6,5,1
"1724",4.44,5.56,7.78,3.33,6.67,8.89,8.89,6.67,6.67,8.89,1
"1725",8,10,9,10,8,9,9,10,8,8,3
"1726",9,9,8,9,10,7,8,7,9,7,3
"1727",10,10,4.44,4.44,10,10,10,10,10,10,3
"1728",0,0,1,3,0,2,0,2,3,2,2
"1729",7,7,8,7,10,10,7,8,10,9,3
"1730",4.44,7.78,7.78,7.78,10,7.78,10,10,10,10,3
"1731",10,8.89,8.89,8.89,10,10,10,10,8.89,10,3
"1732",5.56,7.78,10,7.78,10,10,10,10,10,10,3
"1733",6.67,5.56,5.56,8.89,8.89,8.89,8.89,7.78,6.67,6.67,3
"1734",8,7,9,10,8,7,9,7,10,8,3
"1735",10,8.89,8.89,8.89,8.89,8.89,8.89,8.89,10,8.89,3
"1736",6.67,7.78,5.56,8.89,7.78,7.78,6.67,5.56,5.56,7.78,1
"1737",10,8,10,8,7,10,8,9,10,10,3
"1738",1.11,4.44,0,2.22,4.44,0,4.44,4.44,4.44,4.44,2
"1739",7.78,7.78,7.78,10,10,7.78,10,10,10,10,3
"1740",2,1,1,3,0,3,1,3,3,0,2
"1741",3,1,3,0,3,1,0,0,0,1,2
"1742",10,10,4.44,8.89,10,10,10,10,10,7.78,3
"1743",10,10,10,10,10,10,10,10,10,4.44,3
"1744",5.56,10,6.67,4.44,10,10,5.56,10,4.44,7.78,3
"1745",6.67,8.89,7.78,7.78,8.89,8.89,8.89,8.89,8.89,8.89,3
"1746",10,8.89,10,10,10,10,10,10,8.89,8.89,3
"1747",0,7.78,4.44,0,10,10,10,10,4.44,10,1
"1748",10,10,10,10,10,10,10,10,10,10,3
"1749",3,3,1,2,1,1,2,1,3,2,2
"1750",8.89,10,8.89,7.78,7.78,4.44,8.89,6.67,8.89,0,1
"1751",6,4,4,5,6,5,6,5,5,6,1
"1752",9,7,8,7,9,10,8,8,9,9,3
"1753",10,8.89,10,4.44,10,10,8.89,10,10,8.89,3
"1754",6.67,6.67,4.44,4.44,7.78,8.89,5.56,5.56,5.56,4.44,1
"1755",10,10,10,8.89,10,10,10,10,8.89,10,3
"1756",4.44,3,4.44,0,10,5.56,5.56,7.78,6.67,10,1
"1757",10,7.78,10,10,10,10,10,10,10,10,3
"1758",1,0,3,3,0,3,1,0,0,2,2
"1759",7.78,7.78,8.89,4.44,7.78,7.78,8.89,7.78,3.33,7.78,3
"1760",4,5,6,6,5,4,6,4,6,6,1
"1761",10,10,5.56,7.78,10,10,10,10,10,10,3
"1762",5.56,7.78,8.89,3.33,5.56,2.22,1.11,10,4.44,8.89,1
"1763",5,5,6,6,5,5,6,6,6,6,1
"1764",9,9,9,10,7,10,10,8,9,8,3
"1765",7,10,8,9,10,7,7,9,8,10,3
"1766",2,1,1,0,3,2,0,0,3,3,2
"1767",5,6,5,4,4,5,5,4,4,4,1
"1768",10,7,7,10,8,7,10,10,7,10,3
"1769",10,10,7.78,10,10,10,10,10,10,10,3
"1770",10,10,5.56,5.56,10,8.89,10,4.44,10,3.33,3
"1771",6,4,6,5,6,4,4,4,5,6,1
"1772",3.33,4.44,3.33,7.78,10,10,10,10,7.78,10,3
"1773",8.89,10,10,10,8.89,7.78,8.89,10,10,10,3
"1774",0,0,1,2,2,0,3,3,3,3,2
"1775",10,10,0,10,10,10,10,10,4.44,10,3
"1776",10,10,10,3.33,10,10,10,10,10,10,3
"1777",3,1,3,0,2,2,1,3,3,2,2
"1778",10,8,9,10,8,7,9,9,7,7,3
"1779",8.89,10,5.56,7.78,8.89,4.44,5.56,4.44,6.67,6.67,1
"1780",10,10,10,10,10,10,10,10,10,10,3
"1781",10,10,10,10,10,7.78,4.44,10,7.78,0,3
"1782",10,10,10,8.89,10,10,10,10,10,10,3
"1783",6,5,4,5,5,4,6,5,5,6,1
"1784",10,8,9,9,9,7,10,9,9,10,3
"1785",5,6,4,4,4,4,6,4,5,5,1
"1786",0,2,3,3,1,3,0,1,0,0,2
"1787",4,6,5,5,5,4,6,4,5,5,1
"1788",10,8.89,10,10,10,10,10,10,8.89,10,3
"1789",4.44,3,7.78,10,10,4.44,8.89,8.89,7.78,10,3
"1790",10,10,8.89,10,10,10,10,8.89,8.89,8.89,3
"1791",6.67,7.78,10,3.33,7.78,6.67,8.89,7.78,5.56,6.67,1
"1792",10,7.78,10,6.67,10,10,10,10,7.78,10,3
"1793",8.89,8.89,10,4.44,10,8.89,4.44,10,8.89,1.11,3
"1794",7,8,7,8,9,8,10,8,8,8,3
"1795",4,4,4,4,5,5,6,5,4,5,1
"1796",5,4,6,6,6,4,5,4,6,4,1
"1797",10,10,10,9,9,7,9,8,9,8,3
"1798",9,9,9,7,7,8,9,8,10,9,3
"1799",0,10,10,10,10,10,10,10,7.78,10,3
"1800",4.44,10,10,4.44,10,6.67,10,10,10,10,3
"1801",7.78,7.78,6.67,7.78,6.67,7.78,8.89,7.78,6.67,7.78,3
"1802",3.33,0,4.44,1.11,10,10,8.89,8.89,7.78,5.56,1
"1803",2.22,4.44,4.44,2.22,5.56,1.11,1.11,2.22,4.44,0,2
"1804",4,5,5,5,4,4,6,6,4,4,1
"1805",5,4,5,4,6,5,4,4,4,5,1
"1806",4,6,4,5,4,4,6,6,5,5,1
"1807",10,10,10,10,10,10,10,10,10,10,3
"1808",7,9,8,10,7,9,9,9,10,10,3
"1809",2.22,10,10,2.22,7.78,7.78,7.78,7.78,7.78,8.89,3
"1810",4.44,5.56,7.78,4.44,6.67,6.67,7.78,7.78,4.44,5.56,1
"1811",4.44,10,7.78,4.44,10,7.78,7.78,7.78,4.44,4.44,1
"1812",6.67,8.89,10,4.44,10,7.78,10,7.78,8.89,6.67,3
"1813",10,10,7.78,7.78,8.89,7.78,8.89,8.89,10,8.89,3
"1814",4.44,5.56,5.56,3.33,7.78,7.78,7.78,6.67,6.67,7.78,1
"1815",6.67,6.67,6.67,5.56,10,3.33,7.78,10,5.56,4.44,1
"1816",6.67,8.89,10,4.44,4.44,4.44,7.78,8.89,7.78,8.89,3
"1817",3.33,2.22,5.56,5.56,8.89,0,0,0,0,0,2
"1818",6.67,7.78,4.44,7.78,7.78,4.44,3.33,3.33,4.44,3.33,1
"1819",0,3,4.44,0,4.44,4.44,5.56,4.44,4.44,0,2
"1820",6,5,4,6,4,5,5,6,5,6,1
"1821",4.44,3.33,5.56,7.78,4.44,5.56,7.78,7.78,6.67,2.22,1
"1822",7.78,10,7.78,8.89,10,10,10,10,7.78,10,3
"1823",4.44,2.22,2.22,3.33,10,5.56,8.89,7.78,4.44,2.22,1
"1824",8.89,8.89,8.89,5.56,10,10,8.89,10,6.67,10,3
"1825",9,8,8,8,10,10,9,10,7,10,3
"1826",7,9,7,10,10,8,7,8,10,10,3
"1827",6.67,8.89,10,5.56,10,8.89,8.89,10,8.89,8.89,3
"1828",10,10,10,4.44,10,10,7.78,10,4.44,10,3
"1829",6,4,4,5,4,6,4,4,4,5,1
"1830",8.89,8.89,8.89,7.78,10,8.89,10,8.89,10,4.44,3
"1831",4.44,10,10,7.78,10,10,10,10,6.67,10,3
"1832",4.44,7.78,7.78,8.89,10,8.89,7.78,8.89,7.78,10,3
"1833",9,10,8,8,9,9,8,9,9,9,3
"1834",9,9,8,7,10,7,8,8,9,9,3
"1835",3,3,0,2,3,1,3,2,1,3,2
"1836",8,8,10,10,7,8,9,7,10,8,3
"1837",6,4,4,6,6,4,4,4,5,4,1
"1838",1.11,10,4.44,1.11,7.78,3.33,3.33,6.67,1.11,0,1
"1839",4,6,4,4,5,6,4,4,4,4,1
"1840",10,10,10,7.78,10,10,10,10,10,10,3
"1841",3,2,0,3,3,2,2,0,0,0,2
"1842",1.11,1.11,7.78,3.33,1.11,2.22,1.11,0,4.44,0,2
"1843",4,4,6,6,4,4,5,5,6,6,1
"1844",7.78,10,8.89,7.78,8.89,6.67,8.89,5.56,4.44,7.78,3
"1845",7.78,8.89,10,4.44,10,10,4.44,7.78,7.78,10,3
"1846",6.67,6.67,6.67,5.56,7.78,5.56,7.78,5.56,4.44,5.56,1
"1847",7.78,0,10,0,10,10,10,4.44,10,0,1
"1848",10,8,9,10,8,9,9,10,9,8,3
"1849",4,5,4,4,6,6,6,4,6,4,1
"1850",2.22,7.78,7.78,1.11,8.89,8.89,2.22,8.89,2.22,4.44,1
"1851",10,10,10,7.78,10,10,6.67,4.44,7.78,0,3
"1852",7,10,7,7,8,9,8,7,10,7,3
"1853",10,10,10,10,10,10,10,10,10,10,3
"1854",3,1,1,2,1,2,2,0,1,3,2
"1855",2.22,7.78,4.44,5.56,4.44,4.44,4.44,5.56,4.44,4.44,1
"1856",6.67,7.78,4.44,4.44,10,4.44,6.67,7.78,5.56,2.22,1
"1857",4,4,5,4,4,4,6,6,6,5,1
"1858",10,10,10,10,10,7.78,10,10,10,10,3
"1859",0,2.22,4.44,2.22,10,10,10,10,10,0,1
"1860",8,9,8,7,8,8,9,10,10,8,3
"1861",7,9,9,9,7,9,9,9,8,8,3
"1862",6,5,5,4,4,4,4,6,6,5,1
"1863",8.89,10,7.78,10,10,8.89,10,10,10,10,3
"1864",5,4,6,4,5,4,6,4,6,5,1
"1865",6,4,4,5,5,6,6,6,5,6,1
"1866",6.67,10,5.56,7.78,10,10,10,10,8.89,10,3
"1867",0,3,1,3,1,2,0,3,2,3,2
"1868",4.44,1.11,2.22,3.33,5.56,0,1.11,3.33,4.44,1.11,2
"1869",5.56,7.78,3,4.44,8.89,10,10,10,7.78,10,3
"1870",2,3,2,2,2,3,1,3,2,1,2
"1871",6,5,6,6,5,4,6,5,5,6,1
"1872",6.67,10,10,4.44,8.89,7.78,7.78,8.89,10,1.11,3
"1873",10,8.89,7.78,8.89,10,10,10,8.89,8.89,10,3
"1874",5.56,10,10,6.67,10,7.78,6.67,7.78,7.78,5.56,3
"1875",6.67,7.78,7.78,7.78,7.78,10,7.78,7.78,10,7.78,3
"1876",10,10,10,10,10,10,10,10,10,10,3
"1877",4,6,6,4,4,4,5,5,6,6,1
"1878",10,10,7.78,7.78,10,10,10,10,10,10,3
"1879",1.11,10,4.44,8.89,10,10,6.67,10,10,0,1
"1880",1,2,1,0,1,2,0,1,1,1,2
"1881",10,10,10,6.67,10,10,10,10,10,10,3
"1882",10,10,8.89,7.78,10,8.89,10,10,8.89,10,3
"1883",0,4.44,4.44,4.44,7.78,4.44,0,4.44,7.78,0,1
"1884",10,7.78,10,5.56,10,10,10,8.89,10,10,3
"1885",6,6,4,4,5,6,6,4,5,6,1
"1886",7.78,10,3.33,1.11,10,10,10,10,10,10,3
"1887",5.56,7.78,0,7.78,7.78,7.78,7.78,10,7.78,10,3
"1888",6,6,5,4,5,4,5,5,6,4,1
"1889",4,5,6,5,5,5,4,4,4,6,1
"1890",4.44,10,10,8.89,10,6.67,10,8.89,8.89,10,3
"1891",8.89,8.89,10,7.78,10,10,10,10,8.89,10,3
"1892",8.89,10,8.89,10,10,10,6.67,10,10,10,3
"1893",6.67,7.78,8.89,7.78,8.89,7.78,7.78,7.78,7.78,7.78,3
"1894",8.89,3,6.67,6.67,7.78,2.22,7.78,4.44,4.44,0,1
"1895",0,10,10,10,10,10,10,10,10,10,3
"1896",10,10,10,10,10,10,10,10,10,10,3
"1897",8.89,10,8.89,8.89,10,10,10,10,10,10,3
"1898",10,8.89,10,10,8.89,7.78,8.89,10,7.78,10,3
"1899",10,10,10,10,10,10,4.44,10,10,0,3
"1900",10,7.78,7.78,6.67,7.78,7.78,4.44,7.78,10,10,3
"1901",5.56,5.56,7.78,4.44,10,10,10,10,7.78,7.78,3
"1902",0,4.44,0,0,4.44,0,0,10,0,0,2
"1903",10,8.89,10,10,10,7.78,7.78,7.78,8.89,7.78,3
"1904",8,9,9,9,8,10,8,7,7,10,3
"1905",0,1.11,4.44,0,6.67,1.11,0,0,2.22,0,2
"1906",4,5,6,6,4,4,6,5,6,6,1
"1907",4.44,7.78,4.44,6.67,5.56,4.44,4.44,3.33,6.67,4.44,1
"1908",7,10,7,7,9,10,9,7,9,8,3
"1909",10,10,7.78,7.78,10,10,7.78,8.89,10,10,3
"1910",3,0,2,1,0,0,3,1,1,0,2
"1911",10,10,7.78,10,10,8.89,10,10,7.78,8.89,3
"1912",10,8.89,7.78,3.33,10,7.78,10,10,1.11,10,3
"1913",8.89,10,7.78,8.89,10,10,8.89,10,10,8.89,3
"1914",6,4,5,6,6,6,6,6,5,4,1
"1915",10,7.78,10,7.78,10,7.78,10,7.78,8.89,10,3
"1916",2.22,3.33,7.78,1.11,8.89,4.44,8.89,7.78,5.56,0,1
"1917",4,5,5,5,6,5,4,5,6,4,1
"1918",3.33,10,10,7.78,10,10,10,10,10,10,3
"1919",7.78,0,2.22,0,10,10,10,10,10,10,3
"1920",10,9,9,10,7,9,9,8,8,9,3
"1921",6,6,4,5,4,5,4,5,5,5,1
"1922",7.78,4.44,5.56,6.67,10,7.78,8.89,8.89,6.67,7.78,3
"1923",7.78,7.78,7.78,4.44,7.78,6.67,6.67,7.78,7.78,7.78,3
"1924",7.78,6.67,7.78,8.89,10,8.89,8.89,10,8.89,8.89,3
"1925",3.33,8.89,8.89,0,10,6.67,10,10,10,10,3
"1926",10,10,10,10,10,10,8.89,10,10,10,3
"1927",4.44,10,10,7.78,10,10,10,10,10,10,3
"1928",10,10,10,7.78,10,10,10,10,10,10,3
"1929",4.44,7.78,4.44,6.67,8.89,7.78,3.33,4.44,3.33,2.22,1
"1930",0,10,10,10,10,10,10,10,10,10,3
"1931",1,2,3,1,1,3,3,3,1,2,2
"1932",4,5,5,4,6,4,6,4,6,6,1
"1933",10,7.78,7.78,8.89,10,10,10,10,10,10,3
"1934",7.78,10,7.78,10,10,7.78,7.78,10,10,6.67,3
"1935",2,3,2,0,0,3,2,0,1,2,2
"1936",7.78,4.44,7.78,10,10,10,7.78,10,7.78,4.44,3
"1937",5,5,6,6,4,6,6,4,5,6,1
"1938",0,2,2,2,3,0,1,0,0,1,2
"1939",10,10,10,8.89,10,10,10,10,8.89,10,3
"1940",7.78,10,10,8.89,10,7.78,10,6.67,7.78,0,3
"1941",2.22,5.56,8.89,4.44,8.89,1.11,6.67,1.11,4.44,0,1
"1942",10,10,10,8.89,10,10,10,10,10,10,3
"1943",0,1.11,10,8.89,1.11,2.22,3.33,0,0,7.78,2
"1944",10,10,10,10,10,10,0,10,10,0,3
"1945",2.22,8.89,4.44,5.56,10,8.89,8.89,8.89,7.78,8.89,3
"1946",7,9,8,7,9,10,7,9,8,8,3
"1947",8.89,7.78,5.56,8.89,7.78,6.67,6.67,6.67,6.67,6.67,3
"1948",10,10,8.89,8.89,10,10,10,10,7.78,10,3
"1949",0,10,2.22,7.78,10,7.78,10,4.44,10,4.44,1
"1950",10,8.89,10,7.78,10,8.89,10,8.89,10,10,3
"1951",5,4,5,5,4,4,4,4,5,6,1
"1952",7.78,10,10,8.89,10,10,10,10,10,10,3
"1953",9,8,7,9,8,8,9,7,9,9,3
"1954",4.44,8.89,7.78,5.56,10,10,7.78,10,7.78,10,3
"1955",3.33,10,4.44,4.44,10,5.56,7.78,4.44,4.44,0,1
"1956",0,4.44,4.44,7.78,8.89,8.89,7.78,7.78,8.89,7.78,1
"1957",1,3,1,2,0,1,0,0,1,0,2
"1958",10,10,10,4.44,10,10,10,10,10,10,3
"1959",10,3,10,4.44,10,10,8.89,10,8.89,10,3
"1960",4.44,3,0,7.78,10,8.89,10,10,8.89,8.89,3
"1961",10,10,7.78,7.78,10,7.78,8.89,7.78,10,10,3
"1962",10,10,7.78,7.78,10,10,8.89,10,8.89,7.78,3
"1963",6.67,6.67,10,6.67,10,10,8.89,10,10,8.89,3
"1964",4.44,7.78,8.89,3.33,5.56,8.89,6.67,6.67,4.44,4.44,1
"1965",7,7,10,8,9,8,7,10,7,10,3
"1966",4,5,5,6,4,4,4,5,6,5,1
"1967",3,3,1,3,1,2,2,3,0,3,2
"1968",2.22,4.44,10,4.44,4.44,4.44,10,6.67,4.44,10,1
"1969",1.11,6.67,2.22,4.44,8.89,8.89,7.78,5.56,7.78,7.78,1
"1970",10,10,8.89,6.67,10,10,6.67,7.78,10,10,3
"1971",5,6,5,4,5,4,6,4,4,6,1
"1972",3,1,1,2,1,0,1,2,1,3,2
"1973",10,10,10,10,10,10,10,10,10,10,3
"1974",10,10,10,8.89,10,10,10,10,10,10,3
"1975",10,10,10,8.89,10,10,10,10,10,10,3
"1976",8.89,10,10,8.89,7.78,8.89,6.67,8.89,7.78,8.89,3
"1977",3,3,0,0,3,0,1,2,0,0,2
"1978",1,1,0,2,0,0,1,3,0,3,2
"1979",2.22,5.56,4.44,4.44,4.44,4.44,0,0,0,0,2
"1980",8.89,10,8.89,8.89,10,8.89,10,10,10,10,3
"1981",4,5,4,6,6,6,6,6,6,5,1
"1982",8,10,8,8,9,9,7,9,9,9,3
"1983",1.11,5.56,0,1.11,5.56,2.22,3.33,4.44,2.22,6.67,2
"1984",10,9,10,9,9,9,8,10,10,9,3
"1985",10,10,10,7.78,10,10,7.78,10,7.78,8.89,3
"1986",7.78,10,10,6.67,7.78,10,8.89,8.89,7.78,7.78,3
"1987",5.56,7.78,7.78,4.44,7.78,10,6.67,8.89,6.67,10,3
"1988",7.78,6.67,7.78,5.56,8.89,8.89,8.89,7.78,7.78,6.67,3
"1989",3,3,0,1,1,2,0,1,2,2,2
"1990",10,10,10,8.89,10,8.89,10,10,8.89,10,3
"1991",9,10,9,8,8,7,9,9,7,8,3
"1992",4,4,6,4,6,4,6,6,5,6,1
"1993",10,10,10,10,10,10,10,10,10,6.67,3
"1994",10,10,10,10,10,10,10,10,10,10,3
"1995",7.78,8.89,4.44,1.11,8.89,7.78,7.78,4.44,6.67,7.78,1
"1996",6,4,6,6,5,4,5,4,6,5,1
"1997",7.78,7.78,10,10,10,10,10,10,10,10,3
"1998",6,5,5,5,4,6,4,5,5,5,1
"1999",1,3,1,2,3,1,2,2,1,3,2
"2000",5.56,5.56,4.44,5.56,10,7.78,6.67,7.78,8.89,7.78,1
"2001",7.78,8.89,10,7.78,8.89,7.78,7.78,7.78,8.89,10,3
"2002",0,3,0,2,1,2,1,2,2,3,2
"2003",10,10,7.78,7.78,10,10,6.67,10,8.89,6.67,3
"2004",10,10,10,0,10,10,10,10,10,10,3
"2005",10,7,8,9,10,8,9,8,9,9,3
"2006",10,8.89,10,8.89,10,10,10,6.67,10,10,3
"2007",3.33,8.89,1.11,4.44,10,8.89,10,8.89,10,8.89,3
"2008",5.56,10,6.67,3.33,10,10,10,7.78,6.67,10,3
"2009",8.89,10,7.78,7.78,7.78,0,0,0,4.44,0,1
"2010",4,5,5,5,6,6,5,4,5,5,1
"2011",7.78,5.56,3.33,8.89,7.78,10,8.89,8.89,4.44,8.89,3
"2012",7.78,10,10,10,8.89,8.89,10,10,10,8.89,3
"2013",2,2,1,3,2,0,2,1,0,0,2
"2014",0,4.44,10,0,10,0,0,0,4.44,7.78,1
"2015",3,2,3,2,2,1,1,1,2,0,2
"2016",4.44,10,10,5.56,6.67,5.56,5.56,7.78,6.67,4.44,1
"2017",8,8,10,7,10,7,10,10,8,10,3
"2018",10,10,8,7,10,8,8,9,9,8,3
"2019",1.11,3.33,7.78,4.44,8.89,3.33,10,8.89,3.33,6.67,1
"2020",5,4,4,4,5,6,5,4,4,6,1
"2021",10,10,4.44,4.44,10,10,10,10,10,10,3
"2022",10,7.78,6.67,10,10,7.78,7.78,10,8.89,10,3
"2023",10,8,8,7,8,10,10,7,10,9,3
"2024",10,10,10,10,10,10,10,10,10,10,3
"2025",10,10,10,10,10,10,10,8.89,10,10,3
"2026",1,2,1,2,3,1,3,1,1,2,2
"2027",4.44,0,0,0,7.78,7.78,2.22,4.44,0,4.44,2
"2028",10,10,6.67,2.22,4.44,2.22,1.11,3.33,5.56,2.22,1
"2029",5,6,4,5,4,6,6,5,4,6,1
"2030",10,0,4.44,7.78,7.78,10,4.44,10,10,10,3
"2031",9,10,10,9,7,9,10,9,7,8,3
"2032",1,2,3,3,1,0,3,3,1,1,2
"2033",6.67,3,10,5.56,10,10,10,10,10,10,3
"2034",7.78,10,10,6.67,7.78,8.89,8.89,8.89,7.78,7.78,3
"2035",7.78,6.67,6.67,7.78,8.89,8.89,6.67,7.78,7.78,6.67,3
"2036",6,4,6,6,4,4,4,6,6,4,1
"2037",8,10,10,10,7,10,9,8,7,8,3
"2038",6.67,8.89,6.67,6.67,7.78,8.89,5.56,4.44,6.67,4.44,1
"2039",7.78,8.89,7.78,7.78,8.89,8.89,8.89,8.89,7.78,10,3
"2040",10,7,7,7,10,8,9,9,8,7,3
"2041",1,3,3,2,0,2,1,3,0,0,2
"2042",5,4,4,4,5,6,6,4,4,6,1
"2043",4,4,4,4,5,6,4,4,5,6,1
"2044",4.44,10,7.78,0,7.78,4.44,7.78,4.44,4.44,0,1
"2045",1.11,7.78,4.44,1.11,4.44,1.11,2.22,1.11,6.67,0,2
"2046",2.22,2.22,2.22,4.44,4.44,3.33,4.44,3.33,3.33,4.44,2
"2047",8.89,10,8.89,7.78,10,10,8.89,8.89,8.89,8.89,3
